University Name,Path,Region,Country,City,logo,Overall Score,Overall Rank,stars,dagger,redact,Employability Rank,Diversity Rank,Entrepreneurship & Alumni Outcomes Rank,Return On Investment Rank,Thought Leadership Rank,Employability Score,Diversity Score,Entrepreneurship & Alumni Outcomes Score,Return On Investment Score,Thought Leadership Score
William & Mary (Mason),/universities/william-mary/mason-school-business,North America,United States,Williamsburg (VA),https://www.topuniversities.com/sites/default/files/profiles/logos/mason-school-of-business_592560cf2aeae70239af56bd_small.jpg,35.2,248,,False,False,151-200,151-200,151-200,251+,201-250,40,55.3,43.8,29.3,39.1
Wollongong (Sydney),/universities/university-wollongong/sydney-business-school-university-wollongong,Oceania,Australia,"Wollongong, Dubai",https://www.topuniversities.com/sites/default/files/profiles/logos/sydney-business-school_592560cf2aeae70239af57aa_small.jpg,39.9,249,,False,False,121-130,141-150,201-250,251+,141-150,46.4,62.8,31.9,32.7,50.5
XLRI- Xavier School of Management,/universities/xlri-xavier-school-management,Asia,India,Jamshedpur,https://www.topuniversities.com/sites/default/files/profiles/logos/xlri-logo-200x200-1-1-48x48.jpg,40.2,250,,False,False,141-150,251+,251+,121-130,151-200,42,25.3,24.3,70,46.5
Adnan Kassar School of Business,/universities/lebanese-american-university/adnan-kassar-school-business,Asia,Lebanon,"Beirut, Byblos",https://www.topuniversities.com/sites/default/files/profiles/logos/220610113319am795932Webp.net-resizeimage-2022-06-10T143312.494-48x48.jpg,31.5,251,,False,False,251+,151-200,131-140,201-250,201-250,21.5,60.9,47.1,43.2,41.9
Alabama (Manderson),/universities/university-alabama-manderson,North America,United States,Tuscaloosa (AL),https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-alabama-manderson_592560cf2aeae70239af56ba_small.jpg,29.8,252,,False,False,251+,201-250,151-200,251+,151-200,28.6,46.3,38.8,30.6,48.7
Albers (Seattle),/universities/seattle-university,North America,United States,Seattle (WA),https://www.topuniversities.com/sites/default/files/profiles/logos/seattle-university_592560e09988f300e2320add_small.jpg,22.3,253,,False,False,251+,151-200,251+,251+,251+,25.1,60,30.6,20.5,29.1
American University in Dubai,/universities/american-university-dubai,Asia,United Arab Emirates,Dubai,https://www.topuniversities.com/sites/default/files/profiles/logos/american-university-in-dubai_1200_small.jpg,33.3,254,,False,False,201-250,4,201-250,251+,251+,29.9,93.9,31.5,32.9,36.7
"Arab Academy for Science, Technology and Maritime Transport ""AASTMT""",/universities/arab-academy-science-technology-maritime-transport-aastmt,Africa,Egypt,Alexandria,https://www.topuniversities.com/sites/default/files/profiles/logos/arab-academy-for-science-technology-and-maritime-transport-aastmt-_592560cf2aeae70239af59f5_small.jpg,26.5,255,,False,False,251+,201-250,201-250,201-250,201-250,20.2,54.7,32.9,41.8,38.7
Arkansas (Walton),/universities/sam-m-walton-college-business,North America,United States,Fayetteville (AR),https://www.topuniversities.com/sites/default/files/profiles/logos/sam-m.-walton-college-of-business_59e8efd5ca24f3001b35275b_small.jpg,22.7,256,,False,False,251+,251+,251+,251+,201-250,26.2,40.9,26.7,26.1,37.7
Baruch College (Zicklin),/universities/baruch-college/zicklin-school-business,North America,United States,New York (NY),https://www.topuniversities.com/sites/default/files/profiles/logos/zicklin-school-of-business_592560cf2aeae70239af5754_small.jpg,33.9,257,,False,False,201-250,76,251+,251+,151-200,33.6,70.7,28.7,36.1,44.6
Bentley (McCallum),/universities/mccallum-graduate-school,North America,United States,Waltham (MA),https://www.topuniversities.com/sites/default/files/profiles/logos/bentley-college_592560cf2aeae70239af558a_small.jpg,31.4,258,,False,False,251+,201-250,251+,201-250,201-250,29.8,53.4,27.9,45.8,40.1
Bologna University Business School,/universities/alma-mater-studiorum-university-bologna/bologna-business-school-university-bologna,Europe,Italy,Bologna,https://www.topuniversities.com/sites/default/files/profiles/logos/logo-4-48x48.jpg,31.8,259,,False,False,251+,201-250,201-250,251+,67,29.2,52.2,33.9,27.4,63.4
CENTRUM Catolica Business School,/universities/centrum-catolica,Latin America,Peru,Lima,https://www.topuniversities.com/sites/default/files/profiles/logos/centrum-catolica_592560cf2aeae70239af5872_small.jpg,33.9,260,,False,False,151-200,251+,201-250,251+,201-250,38.6,41.1,34,39,41.5
California State Long Beach,/universities/california-state-university-long-beach-college-business-administration,North America,United States,Long Beach (CA),https://www.topuniversities.com/sites/default/files/profiles/logos/california-state-university-long-beach-college-of-business-administration_592560cf2aeae70239af5382_small.jpg,21.1,261,,False,False,251+,151-200,251+,251+,251+,24,57,25.3,22,31
Chapman (Argyros),/universities/chapman-university-0,North America,United States,Orange (CA),https://www.topuniversities.com/sites/default/files/profiles/logos/chapman-university_592560cf2aeae70239af5782_small.jpg,32,262,,False,False,131-140,251+,251+,251+,251+,45.3,44.3,28.9,33.6,23.7
Claremont (Drucker),/universities/claremont-graduate-university/peter-f-drucker-masatoshi-ito-graduate-school-management,North America,United States,Claremont (CA),https://www.topuniversities.com/sites/default/files/profiles/logos/claremont-graduate-university-_592560cf2aeae70239af56cd_small.jpg,32.3,263,,False,False,251+,151-200,201-250,201-250,201-250,29.3,58,32.2,46.9,37.9
Clark University,/universities/clark-university/clark-university-graduate-school-management,North America,United States,Worcester (MA),https://www.topuniversities.com/sites/default/files/profiles/logos/SOM-logo-200x200-jpg-1-48x48.jpg,25.1,264,,False,False,251+,141-150,201-250,251+,251+,27.2,62.4,33.2,27.8,24.7
